Variable,Mean,Median,Variance,SD,Min,Max
CPI,28.66813186813187,18.4,1323.7493064713065,36.38336579360555,2.7,174.1
Gas_Consumption,2379201.956043956,1738000,2473369083428.5313,1572694.847523998,841320,6484225
Intra_Provincial_Trips,638917.4065934066,721000,106631101628.11063,326544.1802086061,69607,1229000
Nominal_Price,9049.835164835165,7000,78635108.02808303,8867.643882570106,385,30000
Real_Price,35328.318681318684,35629,224374980.4862027,14979.151527580014,14259,63636
Registered_Cars,192607.2967032967,127320,29230714234.433212,170969.92201680742,25288,650731
