"","Gas_Consumption","Real_Price","Registered_Cars","Intra_Provincial_Trips"
"Gas_Consumption",1,-0.0878876410365491,0.856837899629714,-0.757085488668439
"Real_Price",-0.0878876410365491,1,-0.0078675879993421,0.134701182589244
"Registered_Cars",0.856837899629714,-0.0078675879993421,1,-0.645310277195175
"Intra_Provincial_Trips",-0.757085488668439,0.134701182589244,-0.645310277195175,1
